gene,P15_L3_806506.R2.clean_H,P11-N_L2_807507.R2.clean_H,P13_L3_804504.R2.clean_H,P11-2_802502.R2.clean_L,P11-1_801501.R2.clean_L,P2-N_L3_808508.R2.clean_M,P11-2_802502.R2.clean_H,P2-N_L3_808508.R2.clean_L,P11-N_L2_807507.R2.clean_L,P15_L3_806506.R2.clean_L,P11-2_802502.R2.clean_M,P13_L3_804504.R2.clean_L,P12_L3_803503.R2.clean_L,P2-N_L3_808508.R2.clean_H,P11-1_801501.R2.clean_H,P12_L3_803503.R2.clean_H,P14_L3_805505.R2.clean_L,P13_L3_804504.R2.clean_M,P11-N_L2_807507.R2.clean_M,P14_L3_805505.R2.clean_H,P12_L3_803503.R2.clean_M,P11-1_801501.R2.clean_M
1600012H06Rik,157,34,1092,802,186,0,569,240,13,530,498,477,206,82,105,175,145,1636,22,948,75,132
1600012P17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600014C10Rik,7,1,3,164,16,39,27,95,6,50,34,227,9,0,21,2,76,47,0,153,16,17
1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600017P15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,7,133,703,241,139,36,195,299,122,431,519,1067,226,280,162,119,468,929,10,738,256,155
1600023N17Rik,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,2,0,0
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001C19Rik,0,0,0,0,0,1,13,27,0,1,0,1,0,0,0,0,1,1,0,1,0,0
1700001D01Rik,0,25,243,0,1,29,0,122,1,0,3,72,2,0,0,56,1,71,2,1,1,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1700001G17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,61,2,0
1700001J03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001J04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700001K19Rik,0,0,0,0,0,0,11,0,2,1,0,141,0,0,0,13,0,4,0,2,1,0
1700001L05Rik,0,0,0,0,0,0,0,0,8,0,0,1,0,0,41,26,1,0,0,89,0,0
1700001L19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001N15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001O22Rik,0,3,445,30,25,0,3,1,0,0,150,636,28,0,2,14,1,12,0,66,99,1
1700001P01Rik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003E16Rik,2,0,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0
1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003F12Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1700003G13Rik,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,15,0,5,0,0,1,0
1700003G18Rik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003N22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003P14Rik,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,13,2,3,4,0,0,2,0,0,2,3,8,3,0,0,0,1,4,0,1,2,1
1700006E09Rik,0,0,0,1,0,0,107,0,0,0,2,0,0,58,0,0,3,0,0,94,0,23
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006J14Rik,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006P03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0
1700007G11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007J10Rik,0,0,0,7,0,0,2,0,0,0,171,0,0,0,0,0,0,3,1,0,5,0
1700007K09Rik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007K13Rik,0,0,0,80,0,0,1,110,0,3,0,0,0,2,4,56,7,0,0,321,1,12
1700007L15Rik,0,12,0,1,6,0,168,0,0,0,1,0,0,35,85,0,85,0,0,183,17,0
1700007M16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007P06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008A23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700008B11Rik,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008H02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008J07Rik,2,0,220,3,0,84,3,219,0,137,141,1,46,1,10,101,70,388,1,0,0,1
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010H22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010I14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010K24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010L04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011A15Rik,1,0,0,165,0,0,6,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011E24Rik,0,0,2,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
