id,gene,class
16775,Lama4,focal-adhesion
16777,Lamb1,focal-adhesion
16779,Lamb2,focal-adhesion
16780,Lamb3,focal-adhesion
226519,Lamc1,focal-adhesion
16782,Lamc2,focal-adhesion
23928,Lamc3,focal-adhesion
12643,Chad,focal-adhesion
19699,Reln,focal-adhesion
21825,Thbs1,focal-adhesion
12845,Comp,focal-adhesion
21826,Thbs2,focal-adhesion
21827,Thbs3,focal-adhesion
21828,Thbs4,focal-adhesion
14268,Fn1,focal-adhesion
20750,Spp1,focal-adhesion
22370,Vtn,focal-adhesion
21923,Tnc,focal-adhesion
21960,Tnr,focal-adhesion
329278,Tnn,focal-adhesion
81877,Tnxb,focal-adhesion
22371,Vwf,focal-adhesion
15891,Ibsp,focal-adhesion
109700,Itga1,focal-adhesion
16398,Itga2,focal-adhesion
16399,Itga2b,focal-adhesion
16400,Itga3,focal-adhesion
16401,Itga4,focal-adhesion
16402,Itga5,focal-adhesion
16403,Itga6,focal-adhesion
16404,Itga7,focal-adhesion
241226,Itga8,focal-adhesion
104099,Itga9,focal-adhesion
213119,Itga10,focal-adhesion
319480,Itga11,focal-adhesion
16410,Itgav,focal-adhesion
16412,Itgb1,focal-adhesion
16416,Itgb3,focal-adhesion
192897,Itgb4,focal-adhesion
16419,Itgb5,focal-adhesion
16420,Itgb6,focal-adhesion
16421,Itgb7,focal-adhesion
320910,Itgb8,focal-adhesion
11848,Rhoa,focal-adhesion
67653,4930544G11Rik,focal-adhesion
19877,Rock1,focal-adhesion
19878,Rock2,focal-adhesion
17906,Myl2,focal-adhesion
17898,Myl7,focal-adhesion
98932,Myl9,focal-adhesion
59310,Myl10,focal-adhesion
67938,Myl12b,focal-adhesion
67268,Myl12a,focal-adhesion
17907,Mylpf,focal-adhesion
107589,Mylk,focal-adhesion
213435,Mylk3,focal-adhesion
228785,Mylk2,focal-adhesion
238564,Mylk4,focal-adhesion
11461,Actb,focal-adhesion
11465,Actg1,focal-adhesion
19417,Rasgrf1,focal-adhesion
12334,Capn2,focal-adhesion
60595,Actn4,focal-adhesion
109711,Actn1,focal-adhesion
21894,Tln1,focal-adhesion
70549,Tln2,focal-adhesion
192176,Flna,focal-adhesion
286940,Flnb,focal-adhesion
68794,Flnc,focal-adhesion
19303,Pxn,focal-adhesion
16202,Ilk,focal-adhesion
22793,Zyx,focal-adhesion
22323,Vasp,focal-adhesion
22330,Vcl,focal-adhesion
170736,Parvb,focal-adhesion
57342,Parva,focal-adhesion
64099,Parvg,focal-adhesion
22324,Vav1,focal-adhesion
22325,Vav2,focal-adhesion
57257,Vav3,focal-adhesion
19353,Rac1,focal-adhesion
19354,Rac2,focal-adhesion
170758,Rac3,focal-adhesion
18479,Pak1,focal-adhesion
224105,Pak2,focal-adhesion
18481,Pak3,focal-adhesion
70584,Pak4,focal-adhesion
241656,Pak7,focal-adhesion
214230,Pak6,focal-adhesion
26419,Mapk8,focal-adhesion
26420,Mapk9,focal-adhesion
26414,Mapk10,focal-adhesion
16476,Jun,focal-adhesion
12389,Cav1,focal-adhesion
12390,Cav2,focal-adhesion
12391,Cav3,focal-adhesion
14360,Fyn,focal-adhesion
14083,Ptk2,focal-adhesion
22411,Wnt11,focal-adhesion
57265,Fzd2,focal-adhesion
72293,Nkd2,focal-adhesion
93960,Nkd1,focal-adhesion
17869,Myc,cell-cycle
12443,Ccnd1,cell-cycle
12566,Cdk2,cell-cycle
12567,Cdk4,cell-cycle
12571,Cdk6,cell-cycle
12576,Cdkn1b,cell-cycle
12444,Ccnd2,cell-cycle
12445,Ccnd3,cell-cycle
19651,Rbl2,cell-cycle
12447,Ccne1,cell-cycle
12448,Ccne2,cell-cycle
56484,Foxo3,cell-cycle
12534,Cdk1,cell-cycle
15903,Id3,cell-cycle
15901,Id1,cell-cycle
15902,Id2,cell-cycle
15904,Id4,cell-cycle
16367,Irs1,PI3K-signaling
18706,Pik3ca,PI3K-signaling
18709,Pik3r2,PI3K-signaling
30955,Pik3cg,PI3K-signaling
320207,Pik3r5,PI3K-signaling
104709,Pik3r6,PI3K-signaling
18607,Pdpk1,PI3K-signaling
18750,Prkca,PI3K-signaling
320795,Pkn1,PI3K-signaling
263803,Pkn3,PI3K-signaling
109333,Pkn2,PI3K-signaling
20393,Sgk1,PI3K-signaling
27219,Sgk2,PI3K-signaling
170755,Sgk3,PI3K-signaling
11651,Akt1,PI3K-signaling
11652,Akt2,PI3K-signaling
23797,Akt3,PI3K-signaling
12912,Creb1,PI3K-signaling
12913,Creb3,PI3K-signaling
26427,Creb3l1,PI3K-signaling
208647,Creb3l2,PI3K-signaling
208677,Creb3l3,PI3K-signaling
78284,Creb3l4,PI3K-signaling
231991,Creb5,PI3K-signaling
12915,Atf6b,PI3K-signaling
11909,Atf2,PI3K-signaling
11911,Atf4,PI3K-signaling
17210,Mcl1,PI3K-signaling
12043,Bcl2,PI3K-signaling
17246,Mdm2,PI3K-signaling
16151,Ikbkg,PI3K-signaling
12675,Chuk,PI3K-signaling
16150,Ikbkb,PI3K-signaling
18033,Nfkb1,PI3K-signaling
19697,Rela,PI3K-signaling
12048,Bcl2l1,PI3K-signaling
17863,Myb,PI3K-signaling
14103,Fasl,PI3K-signaling
12125,Bcl2l11,PI3K-signaling
18127,Nos3,PI3K-signaling
12189,Brca1,PI3K-signaling
58988,Rps6kb2,PI3K-signaling
72508,Rps6kb1,PI3K-signaling
75705,Eif4b,PI3K-signaling
105244208,LOC105244208,PI3K-signaling
20104,Rps6,PI3K-signaling
14784,Grb2,MAPK-signaling
20662,Sos1,MAPK-signaling
20663,Sos2,MAPK-signaling
19419,Rasgrp1,MAPK-signaling
19395,Rasgrp2,MAPK-signaling
240168,Rasgrp3,MAPK-signaling
233046,Rasgrp4,MAPK-signaling
19417,Rasgrf1,MAPK-signaling
19418,Rasgrf2,MAPK-signaling
15461,Hras,MAPK-signaling
16653,Kras,MAPK-signaling
18176,Nras,MAPK-signaling
20130,Rras,MAPK-signaling
66922,Rras2,MAPK-signaling
17532,Mras,MAPK-signaling
18750,Prkca,MAPK-signaling
18751,Prkcb,MAPK-signaling
18752,Prkcg,MAPK-signaling
76089,Rapgef2,MAPK-signaling
18747,Prkaca,MAPK-signaling
18749,Prkacb,MAPK-signaling
109905,Rap1a,MAPK-signaling
215449,Rap1b,MAPK-signaling
11836,Araf,MAPK-signaling
109880,Braf,MAPK-signaling
110157,Raf1,MAPK-signaling
26395,Map2k1,MAPK-signaling
26396,Map2k2,MAPK-signaling
56692,Lamtor3,MAPK-signaling
26413,Mapk1,MAPK-signaling
26417,Mapk3,MAPK-signaling
110651,Rps6ka3,MAPK-signaling
20111,Rps6ka1,MAPK-signaling
20112,Rps6ka2,MAPK-signaling
67071,Rps6ka6,MAPK-signaling
17346,Mknk1,MAPK-signaling
17347,Mknk2,MAPK-signaling
11911,Atf4,MAPK-signaling
13712,Elk1,MAPK-signaling
13714,Elk4,MAPK-signaling
17869,Myc,MAPK-signaling
20807,Srf,MAPK-signaling
14281,Fos,MAPK-signaling
16765,Stmn1,MAPK-signaling
18783,Pla2g4a,MAPK-signaling
211429,Pla2g4b,MAPK-signaling
232889,Pla2g4c,MAPK-signaling
271844,Pla2g4f,MAPK-signaling
329502,Pla2g4e,MAPK-signaling
78390,Pla2g4d,MAPK-signaling
17762,Mapt,MAPK-signaling
14688,Gnb1,Ras-psignaling
14693,Gnb2,Ras-psignaling
14695,Gnb3,Ras-psignaling
14696,Gnb4,Ras-psignaling
14697,Gnb5,Ras-psignaling
14702,Gng2,Ras-psignaling
14704,Gng3,Ras-psignaling
14706,Gng4,Ras-psignaling
14707,Gng5,Ras-psignaling
100043507,Gng5-ps,Ras-psignaling
14708,Gng7,Ras-psignaling
14709,Gng8,Ras-psignaling
14700,Gng10,Ras-psignaling
66066,Gng11,Ras-psignaling
14701,Gng12,Ras-psignaling
100503710,Gm5741,Ras-psignaling
64337,Gng13,Ras-psignaling
14699,Gngt1,Ras-psignaling
14710,Gngt2,Ras-psignaling
14388,Gab1,Ras-psignaling
14389,Gab2,Ras-psignaling
20416,Shc1,Ras-psignaling
216148,Shc2,Ras-psignaling
20418,Shc3,Ras-psignaling
271849,Shc4,Ras-psignaling
19247,Ptpn11,Ras-psignaling
18803,Plcg1,Ras-psignaling
234779,Plcg2,Ras-psignaling
21825,Thbs1,cell-marker
16664,Krt14,cell-marker
110308,Krt5,cell-marker
17748,Mt1,cell-marker
17750,Mt2,cell-marker
16661,Krt10,cell-marker
229574,Flg2,cell-marker
16939,Lor,cell-marker
282619,Sbsn,cell-marker
17752,Mt4,cell-marker
11828,Aqp3,cell-marker
50706,Postn,cell-marker
223917,Krt79,cell-marker
