"W1-H","W1-L","W1-M","N1-H","N1-L","N1-M","W2-H","W2-L","W2-M","W3-H","W3-L","W3-M","W4-H","W4-L","W5-H","W5-L"
"1700008J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018L02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020I14Rik",2,2,3,4,2,0,6,2,1,156,47,91,5,2,0,8
"1700021F05Rik",1,0,1,0,0,0,1,0,1,3,1,2,2,0,0,0
"1700023F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023H06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",1,1,1,0,8,0,0,0,0,1,1,1,0,0,0,0
"1700026D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028J19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029I15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029M20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030C10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034H15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1700047A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047I17Rik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047K16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700048O20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700052K11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700055D18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056N10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700066B19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700066M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700067K01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700084E18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700086D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700086O06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700086P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700088E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700096K18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700097N02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700099I09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700109H08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700109K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700112E06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700112J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700113A16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700120C14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123M08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123O20Rik",0,0,0,0,0,0,0,0,0,11,2,2,30,0,0,0
"1810009A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810010H24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810011O10Rik",0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0
"1810013L24Rik",0,2,1,0,0,0,0,1,2,2,2,2,0,0,0,0
"1810014B01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810019D21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810021B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810022K09Rik",3,5,34,6,7,3,6,2,4,42,64,56,21,2,1,29
"1810024B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810026B05Rik",1,0,1,0,0,0,5,2,2,5,12,12,3,0,0,1
"1810026J23Rik",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"1810030O07Rik",0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"1810032O08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810034E14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810037I17Rik",8,54,59,5,8,3,4,13,11,51,346,122,19,7,0,11
"1810041H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810043G02Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
